state,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,year,Total People Experiencing Homelessness,gdp,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,gini,international_migration,unemployment_rate
Rhode Island,0.224,0.097,0.111,0.288,0.135,0.144,2011,1070,50206.1,10829,37377,87033,918590,0.47,4585,0.112
South Carolina,0.248,0.093,0.11,0.273,0.134,0.141,2011,5093,172075.1,27065,74124,1340554,3230912,0.46,3404,0.104
South Dakota,0.263,0.091,0.115,0.26,0.127,0.145,2011,826,41892.1,78477,9686,14780,720797,0.43,1369,0.048
Tennessee,0.247,0.09,0.117,0.279,0.131,0.137,2011,9113,269814.2,28954,112889,1114123,5144332,0.48,9350,0.093
Texas,0.29,0.098,0.127,0.273,0.108,0.105,2011,36911,1341334.4,282087,1148678,3234968,20979771,0.48,69106,0.079
Utah,0.33,0.111,0.142,0.233,0.092,0.092,2011,3130,125565.0,46979,98240,43884,2625694,0.42,2900,0.069
Vermont,0.213,0.084,0.102,0.293,0.156,0.152,2011,1144,28418.7,3059,9406,8921,605811,0.43,1295,0.056
Virginia,0.247,0.091,0.12,0.289,0.127,0.126,2011,8816,435180.3,47269,514284,1660329,5880555,0.46,23466,0.064
Washington,0.245,0.092,0.126,0.28,0.131,0.126,2011,20439,379574.9,151778,614495,323849,5737357,0.44,20171,0.092
West Virginia,0.22,0.088,0.105,0.275,0.15,0.162,2011,2211,69234.1,4234,15414,72448,1764510,0.47,2133,0.078
Wisconsin,0.247,0.09,0.114,0.28,0.132,0.137,2011,5785,266364.4,69134,148087,400905,5087714,0.44,4390,0.075
Wyoming,0.251,0.094,0.127,0.262,0.14,0.126,2011,1038,39751.4,16219,5889,7435,537948,0.41,-85,0.061
Alabama,0.249,0.095,0.112,0.27,0.13,0.144,2012,5209,189245.5,35831,70718,1298786,3411297,0.47,6282,0.073
